,distr,score,LLE,loc,scale,arg
0,t,155.37718237176256,,0.6697601322084514,0.04611791579918866,"(0.9986877621538803,)"
1,cauchy,155.38515376869123,,0.6697835656344893,0.04614549218192693,()
2,dweibull,166.68688865422726,,0.6719999999999999,0.15566008071721643,"(0.734683085451046,)"
3,burr,200.36734616911878,,-5685557.004793657,5685557.738292117,"(91582836.13627596, 0.44131717697046513)"
4,logistic,209.6104219345115,,0.6576640079519337,0.09618832595929663,()
5,norm,237.137144446608,,0.6326666666666666,0.21583494207894655,()
6,lognorm,237.4132452896452,,-104.38436248215797,105.01635814490237,"(0.002061338186757502,)"
7,chi2,242.65589173436592,,-3.256352426959488,0.006857932947105273,"(566.3334007288393,)"
8,gamma,243.36492425980498,,-2.5864468347264875,0.016736490052352046,"(191.96496765795177,)"
9,expon,298.9893427038801,,0.019,0.6136666666666666,()
10,pareto,305.9316176654463,,0.018995938296362296,4.061703637703306e-06,"(0.0909158836092508,)"
